date,countyfips,value,county,state
2020-01-13,09001,-1.24,Fairfield,CT
2020-01-13,09003,-0.46499999999999997,Hartford,CT
2020-01-13,09005,-4.390000000000001,Litchfield,CT
2020-01-13,09009,0.457,New Haven,CT
2020-01-13,34003,0.792,Bergen,NJ
2020-01-13,34017,2.23,Hudson,NJ
2020-01-13,34025,1.48,Monmouth,NJ
2020-01-13,34027,-3.9899999999999998,Morris,NJ
2020-01-13,36059,-3.93,Nassau,NY
2020-01-13,36103,-1.39,Suffolk,NY
2020-01-13,36119,0.20600000000000002,Westchester,NY
2020-01-14,09001,-0.8370000000000001,Fairfield,CT
2020-01-14,09003,-0.7000000000000001,Hartford,CT
2020-01-14,09005,8.91,Litchfield,CT
2020-01-14,09009,0.592,New Haven,CT
2020-01-14,34003,1.03,Bergen,NJ
2020-01-14,34017,13.4,Hudson,NJ
2020-01-14,34025,1.3,Monmouth,NJ
2020-01-14,34027,-3.1199999999999997,Morris,NJ
2020-01-14,36059,-3.35,Nassau,NY
2020-01-14,36103,-0.897,Suffolk,NY
2020-01-14,36119,0.107,Westchester,NY
2020-01-15,09001,4.78,Fairfield,CT
2020-01-15,09003,11.3,Hartford,CT
2020-01-15,09005,9.86,Litchfield,CT
2020-01-15,09009,9.48,New Haven,CT
2020-01-15,34003,1.27,Bergen,NJ
2020-01-15,34017,10.9,Hudson,NJ
2020-01-15,34025,9.41,Monmouth,NJ
2020-01-15,34027,-2.25,Morris,NJ
2020-01-15,36059,4.51,Nassau,NY
2020-01-15,36103,8.74,Suffolk,NY
2020-01-15,36119,11.3,Westchester,NY
2020-01-16,09001,-0.252,Fairfield,CT
2020-01-16,09003,-1.17,Hartford,CT
2020-01-16,09005,-0.726,Litchfield,CT
2020-01-16,09009,0.8630000000000001,New Haven,CT
2020-01-16,34003,1.51,Bergen,NJ
2020-01-16,34017,2.07,Hudson,NJ
2020-01-16,34025,0.958,Monmouth,NJ
2020-01-16,34027,-1.38,Morris,NJ
2020-01-16,36059,-2.19,Nassau,NY
2020-01-16,36103,0.0945,Suffolk,NY
2020-01-16,36119,-0.092,Westchester,NY
2020-01-17,09001,-0.0688,Fairfield,CT
2020-01-17,09003,-2.77,Hartford,CT
2020-01-17,09005,-0.5760000000000001,Litchfield,CT
2020-01-17,09009,-0.27799999999999997,New Haven,CT
2020-01-17,34003,1.18,Bergen,NJ
2020-01-17,34017,1.6099999999999999,Hudson,NJ
2020-01-17,34025,-2.71,Monmouth,NJ
2020-01-17,34027,-2.4299999999999997,Morris,NJ
2020-01-17,36059,-2.2399999999999998,Nassau,NY
2020-01-17,36103,0.889,Suffolk,NY
2020-01-17,36119,-1.79,Westchester,NY
